K,Distance,Voting scheme,Weight scheme,Accuracy,Precision,Recall,F1,Solving Time
7,minkowski2,Majority_class,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,18.89676308631897
1,minkowski2,Majority_class,ANOVA,0.9416445623342176,0.9416445623342176,0.9416445623342176,0.9416445623342176,14.613486766815186
3,minkowski2,Majority_class,ANOVA,0.9681697612732095,0.955685234305924,0.9681697612732095,0.9570168880513709,14.526653051376343
5,minkowski2,Majority_class,ANOVA,0.9681697612732095,0.955685234305924,0.9681697612732095,0.9570168880513709,14.482642650604248
7,minkowski2,Majority_class,ANOVA,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,14.80916690826416
1,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9389920424403183,0.9413603637741568,0.9389920424403183,0.9401703579992213,15.738644361495972
3,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9549071618037135,0.9369384786514932,0.9549071618037135,0.9458374872682644,15.578979969024658
5,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9628647214854111,0.9371883289124668,0.9628647214854111,0.9498530360599325,15.655845165252686
7,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9575596816976127,0.9370222086317122,0.9575596816976127,0.9471796309475031,15.699269533157349
1,minkowski2,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,18.75076723098755
3,minkowski2,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,18.875643253326416
5,minkowski2,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,18.981087923049927
7,minkowski2,Inverse_Distance_Weights,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,18.760042428970337
1,minkowski2,Inverse_Distance_Weights,ANOVA,0.9416445623342176,0.9416445623342176,0.9416445623342176,0.9416445623342176,14.796811819076538
3,minkowski2,Inverse_Distance_Weights,ANOVA,0.9628647214854111,0.9475753977002013,0.9628647214854111,0.9537821770790653,14.683838367462158
5,minkowski2,Inverse_Distance_Weights,ANOVA,0.9655172413793104,0.9503042596348884,0.9655172413793104,0.9553823899958006,14.821977376937866
7,minkowski2,Inverse_Distance_Weights,ANOVA,0.9628647214854111,0.9371883289124668,0.9628647214854111,0.9498530360599325,14.833240747451782
1,minkowski2,Sheppards_Work,Mutual_classifier,0.9336870026525199,0.9450208907612558,0.9336870026525199,0.9391749748467941,16.729440927505493
3,minkowski2,Sheppards_Work,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,16.019068956375122
5,minkowski2,Sheppards_Work,Mutual_classifier,0.9628647214854111,0.9371883289124668,0.9628647214854111,0.9498530360599325,15.89895248413086
7,minkowski2,Sheppards_Work,Mutual_classifier,0.9655172413793104,0.9372707263389581,0.9655172413793104,0.9511843268649075,15.80749225616455
1,minkowski2,Sheppards_Work,Relief,0.9681697612732095,0.9373526866438235,0.9681697612732095,0.9525120292849637,18.983129024505615
