K,Distance,Voting scheme,Weight scheme,Accuracy_mean,Accuracy_std,Precision_Class_0_mean,Precision_Class_0_std,Recall_Class_0_mean,Recall_Class_0_std,F1_Class_0_mean,F1_Class_0_std,Precision_Class_1_mean,Precision_Class_1_std,Recall_Class_1_mean,Recall_Class_1_std,F1_Class_1_mean,F1_Class_1_std,Solving Time_mean,Solving Time_std
1,HEOM,Sheppards_Work,Mutual_classifier,0.9544381047180599,0.0130345523966709,0.9568868731497598,0.021131773491339496,0.9522725363941771,0.020927744076098063,0.9543179198804346,0.013034184118572573,0.9529896963999525,0.01925449968886479,0.9565509518477044,0.022037689503815044,0.9545267655258,0.013101689096675648,1.5622432708740235,0.11345040584340713
1,minkowski1,Majority_class,Mutual_classifier,0.9544380750931702,0.013973224995610677,0.9550745830178142,0.02416281063583148,0.9544001959686451,0.018889325720594326,0.9544764067878686,0.013784405576204667,0.9548194814625404,0.017515906027973035,0.9544120940649495,0.025028403306983003,0.9543698204522169,0.014212196821796622,1.91615891456604,0.1263111349853946
1,minkowski1,Sheppards_Work,Mutual_classifier,0.9544324759890269,0.014851192019779545,0.9561093958664875,0.025035674185703995,0.9533475643896978,0.02256170201438661,0.9543947510300708,0.014720055550812978,0.9540419011782678,0.020911004015523413,0.9554647256438971,0.026400766597534667,0.9544313872124756,0.015053088887421432,1.8861488342285155,0.10959718404016806
1,HEOM,Majority_class,Mutual_classifier,0.9539061601995533,0.01417547367041611,0.9541255006853108,0.024416101598009186,0.9543889977603583,0.019561818892452214,0.953975982813342,0.013903358965360239,0.9548170139487061,0.01805250260277841,0.953337066069429,0.026166882054698255,0.9537963196402227,0.014536902165080499,1.6080833435058595,0.23972071031675785
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9528507735058687,0.014476537785359431,0.9513961818353955,0.02774692158198746,0.9554528275475924,0.02182047674081481,0.953026918801147,0.014256597158607285,0.9558725230609066,0.020041655076577944,0.9501679731243001,0.02927126822978002,0.9526262826391683,0.014787137325582891,1.9020468235015868,0.13456005617024544
3,HEOM,Majority_class,Mutual_classifier,0.9528366720583966,0.014529916947956856,0.9493759184205821,0.02733783719363977,0.9576248133631953,0.015813433764619154,0.9531899691582495,0.013889209303999367,0.9574998354527023,0.014988363825981274,0.9480403135498321,0.02940239994283625,0.9524457302056935,0.015225903709879095,1.6208882808685303,0.17369859588831274
3,HEOM,Sheppards_Work,Mutual_classifier,0.9523187993624724,0.01301218905631929,0.9483919014538316,0.025722628053633116,0.9576248133631953,0.017331011746239258,0.952674144404995,0.012420844730110884,0.9575623315071253,0.01619343463314211,0.946976483762598,0.02789501680839497,0.9519204600112221,0.013676451626328932,1.5990339517593384,0.14646174675103218
1,minkowski2,Majority_class,Mutual_classifier,0.9523160442477352,0.015436046962245384,0.9504740198687157,0.029527607881849518,0.9554640257558791,0.019373341427256892,0.952580929916276,0.014895751218370981,0.9556943462279598,0.017791560384030732,0.9490929451287794,0.031610620031945966,0.9519997386162954,0.016075058322369187,3.149233341217041,0.30409807130998473
1,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9523048460394484,0.01545099613034687,0.9511763944577082,0.026201839913950583,0.9543892310563644,0.022512566179633358,0.952432048712622,0.01521170142132561,0.9548293154435644,0.02112135693179641,0.9501679731243001,0.028399082081282855,0.9521306246248242,0.01579893873813363,3.178555989265442,0.19825883363751295
1,minkowski2,Sheppards_Work,Mutual_classifier,0.9517840997292284,0.013611441661491436,0.9537823790640856,0.022462872909105716,0.950178238148563,0.02015369020435782,0.9517184733591572,0.013485471060564939,0.9507823488601297,0.018582114886617533,0.9533482642777156,0.023627847977421512,0.951817156781763,0.013808126880508342,3.2816921949386595,0.3838525650543759
1,HEOM,Inverse_Distance_Weights,Mutual_classifier,0.9512578135646444,0.01117880553116652,0.9490409119986285,0.021895575724312184,0.9544001959686451,0.019543701454403394,0.9514219089771473,0.011008202629544234,0.9546433759021854,0.017843738298280728,0.9480515117581187,0.023230124613052145,0.9510558422086779,0.011437569761352948,1.51442289352417,0.07025579562032694
3,minkowski2,Majority_class,Relief,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,8.243731808662414,1.1785854190442384
